minor	version	git_commit	server_linux_amd64_sha256	lifecycle
13	v1.13.12	a8b52209ee172232b6db7a6e0ce2adc77458829f	d5424038e4113dd9b3ed6ca971ad1a111b102a05c1d25bbe9909f9b12bbdfabb	EOL
14	v1.14.10	575467a0eaf3ca1f20eb86215b3bde40a5ae617a	cc6c5fcb75980f3656ee4c917fb97ee8a38572ba410d4f1949fb121721e5e4f3	EOL
15	v1.15.12	e2a822d9f3c2fdb5c9bfbe64313cf9f657f0a725	95bc1732fc232157d8a48400175dcc078ed939b0b69baa48e68a92e1c2868fcc	EOL
16	v1.16.15	2adc8d7091e89b6e3ca8d048140618ec89b39369	308411f835672365513ee16a9afa6864990812319b20b274d4c9d48d1f791ff7	EOL
17	v1.17.17	f3abc15296f3a3f54e4ee42e830c61047b13895f	720299a5788cf6699a1761ed5c44c2de941ba9ffeb26fe0d07631d1b01728309	EOL
18	v1.18.20	1f3e19b7beb1cc0110255668c4238ed63dadb7ad	b458799bebd1f2b0145f76459f09416eb776918c6c256db8dad786438f77d1f8	EOL
19	v1.19.16	e37e4ab4cc8dcda84f1344dda47a97bb1927d074	031465004b9590a9db8fdf81698241dbbf46e481253efc1eccd53884549b369c	EOL
20	v1.20.15	8f1e5bf0b9729a899b8df86249b56e2c74aebc55	fd350809ff308cd9f6e978c51e1ae76da28986d5ac5fa5036ec47e4dd3bb44ae	EOL
21	v1.21.14	0f77da5bd4809927e15d1658fb4aa8f13ad890a5	06788b5248a9d57484987dba77fbd70f7175bc008b9cc63aa5c321f8fcdf6b11	EOL
22	v1.22.17	a7736eaf34d823d7652415337ac0ad06db9167fc	4729f7c1adb672d780d6f85d3504e61b4e4b6ab1105afa0950ab63e9f0643895	EOL
23	v1.23.17	953be8927218ec8067e1af2641e540238ffd7576	2c3748c4bc8d005cfdd79a6b8472c7cee85477228ffc4b1a0af97a6ded72ee02	EOL
24	v1.24.17	22a9682c8fe855c321be75c5faacde343f909b04	c6d751d268a311bc9453b15954263ab4b3ab7288135d01906e9ac274b8304f60	EOL
25	v1.25.16	c5f43560a4f98f2af3743a59299fb79f07924373	c85f86c09d15d126046ed443fd6583814ac287f93651f24c952475ef39091030	EOL
26	v1.26.15	1649f592f1909b97aa3c2a0a8f968a3fd05a7b8b	223a8211e5a3f841b7bbf85b76d34877cfd2aad1bfea05d877bb1408ac80472b	EOL
27	v1.27.16	cbb86e0d7f4a049666fac0551e8b02ef3d6c3d9a	4b0caee55a8f316acef0fe853f44281deed5d28b9a48672bf0f6b9821ac5f4f5	EOL
28	v1.28.15	841856557ef0f6a399096c42635d114d6f2cf7f4	1963a6a05976be5668e4e5173a6f28e409fddca3e9a0a1c2bdd7db1dd83faf8b	EOL
29	v1.29.15	0d0f172cdf9fd42d6feee3467374b58d3e168df0	f0ffb99f671f9d78ad72c6d3b340b769aca8f331d300e4dbcd9870b6c1f2b5b6	EOL
30	v1.30.14	9e18483918821121abdf9aa82bc14d66df5d68cd	ff77071bcdeb4187a8f7aae0372dcc9e8b776ae054c095fa3ae0c58268b5c694	EOL
31	v1.31.14	5e00b99bac504844579ec74886b6cc5c9611ca19	a2196e27c26b50f3576b5dd817037505c86ad469b0c3a5f9e94381ea1ab652b4	EOL
32	v1.32.13	6172d7357c6287643350a4fc7e048f24098f2a1b	92904c52dbb9e90844b3112a5f62e6a1e5d9018fb5c0dcef0a75cd907a7dd4bb	EOL
33	v1.33.13	c029d48d28322ad0369aabdcf8b656fd3195cd30	96eaf166949ffdf461fdef025c07bd145eaa6d771d027b61f87e8d4fc0842303	EOL
34	v1.34.10	bd6c4ad159ac77a879838b8f14f23a49bf97de5f	be15fc6e9bd5428a5b5828524928f9c5fca1dd7910a9b6d8011676e820167f80	SUPPORTED
35	v1.35.7	96cb9ab4201d88ce5e549fde047a686171838fdb	9df8ebace074f645824325748e645cb80487b481f45bf28bafffa156097c5fc9	SUPPORTED
36	v1.36.3	0f29094e5b73085e3802ecc1298ecae13866bfe6	401f6286a17a37b0a546c87d6ba294bc6cee9f54095cf4c793162110e501b02a	SUPPORTED
